Authors,Title,Year,Source,Term
TM Harrold,"“I'm No Cactus Expert, But I Know A Prick When I See One”-Image, Text, Therapy and Vengeance in Art by Women",2017,A thesis submitted for the degree of MA by Dissertation in Art and Design,Art and Feminism
"W Gluza, I Turaj, F Meier",Wikipedia edit-a-thons and editor experience: Lessons from a participatory observation,2021,Proceedings of the 17th International Symposium on Open Collaboration,Art+Feminism
"WHK Chun, W Soon, N Wardrip-Fruin…","Software Studies, Revisited. A Roundtable on the Software Studies Series at MIT Press",2022,Computational Culture – ISSN 2047-2390,Art+Feminism
"X Gallardo C, A Matsuuchi",My Books Will Be Read By Millions of People!”: The LaGuardia Community College Octavia E. Butler Project on Wikipedia.,2019,"My Books Will Be Read By Millions of People!”: The LaGuardia
Community College Octavia E. Butler Project on Wikipedia.",Art+Feminism
Y Guilat,Re-Reading Women Artists and Feminist Discourse in 1980s Israeli Art,2023,Israel Studies,Art and Feminism
Y Maciá Martínez,Mujeres de categoría: Utilización de los principios y estándares de los datos enlazados (linked open data) para visualizar las biografías de mujeres en la Viquipèdia,2022,"MUJERES DE
CATEGORÍA",Art+Feminism
Z Freney,"Making the New, Normal: Re-Presenting Mothers' Subjectivities and Their Creative Potential Against Persistent Patriarchal Models",2022,"Making the New, Normal:
re-presenting mothers’ subjectivities and
their creative potential against persistent
patriarchal models",Art and Feminism
О Чепелик,Арт+ фемінізм 2020: український і світовий контексти,2020,Мистецтвознавство України,Art+Feminism
אורנה שטיין,גוף הזיכרון: עיונים ביצירתה הבימתית של נעמי יואלי‎,2021‎,גוף הזיכרון: עיונים ביצירתה הבימתית של נעמי יואלי,Art and Feminism
B Kratovic,""" Duchampianska"" praktiker inom samtidskonsten",2020,,[]
LR Mayhew,"The Activist Essay: Art, Feminism and Wikipedia in the Classroom",2019,acuads.com.au,Art+Feminism
A Washko,"Out Of The Kitchen, Onto Your Screen, Into The Ether: A Case For An Online Art and Feminism Social Movement",2014,A feminist art movement online,Art and Feminism
C MEYER,"Uncovering Women's Stories: She Said, but Not According to Wikipedia",,Women Advancing Knowledge Equity,Art+Feminism
"LM Bridges, C Llebot",Los bibliotecarios como organizadores del movimiento Wikimedia en España: una investigación interpretiva que explora las actividades y sus motivaciones,2021,First Monday,Art+Feminism
"NB Thylstrup, D Agostinho, KE Veel…","Infrapolitics, Archival infrastructures and Digital Reparative Practices",2024,… Interventions in Praxis,Art+Feminism
P Lorente,Prácticas pedagógicas con Wikipedia en Educación Superior Universitaria,2024,,[]
P Lorente,Prácticas pedagógicas con Wikipedia en Educación Superior Universitaria. Análisis de experiencias en universidades públicas argentinas,2024,,[]
A Menking,"Speculum: Characterizing the creation, curation, reproduction, and neglect of women's health information on the English language Wikipedia",2019,,[]
"A Menking, J Rosenberg","WP: NOT, WP: NPOV, and other stories Wikipedia tells us: A feminist critique of Wikipedia's epistemology",2021,"Science, Technology, &Human …",Art+Feminism
"A Sengupta, S Bouterse, K Allmann","Build an internet for, and from, us all",2018,Nature,Art+Feminism
D Auger-Domínguez,Inclusion revolution: The essential guide to dismantling racial inequity in the workplace,2024,,[]
H Schmedes,–1.153 CHARACTERS. TOWARDS A QUEERFEMINIST INFRASTRUCTURAL CRITIQUE OF WIKIPEDIA,2024,FKW//Zeitschrift für Geschlechterforschung und …,Art+Feminism
H Steinert,Feministische Kritik an und in der Wikipedia,2023,kritische berichte-Zeitschrift für Kunst-und …,Art+Feminism
JC Edwards,Wiki women: Bringing women into Wikipedia through activism and pedagogy,2015,The History Teacher,Art+Feminism
L Ursachi,Wikipedia în educația universitară și rolul bibliotecarului de referințe,2020,Biblioteca,Art+Feminism
